transfers_balance,opponent_team,own_goals,bonus,total_points,clean_sheets,goals_conceded,kickoff_time,red_cards,expected_goals_conceded,team_a_score,influence,saves,assists,transfers_in,xP,season,expected_assists,creativity,starts,value,selected,element,goals_scored,was_home,bps,minutes,penalties_missed,yellow_cards,team,fixture,expected_goals,expected_goal_involvements,transfers_out,round,name,threat,position,ict_index,team_h_score,penalties_saved
99,Everton,0,0,1,0,0,2023-05-28T15:30:00Z,0,0.71,0,4.0,0,0,161,1.0,2022-23,0.15,12.4,1,53,1791,60,0,false,0,55,0,0,Bournemouth,376,0.02,0.17,62,38,David Brooks,11.0,MID,2.7,1,0
-3,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,52,2607,61,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,3,38,Jamal Lowe,0.0,MID,0.0,1,0
-1334,Everton,0,0,1,0,0,2023-05-28T15:30:00Z,0,0.22,0,3.2,0,0,698,1.0,2022-23,0.01,10.5,0,49,82565,62,0,false,3,25,0,0,Bournemouth,376,0.09,0.10,2032,38,Kieffer Moore,8.0,FWD,2.2,1,0
-2,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,47,1673,63,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,2,38,Emiliano Marcondes,0.0,MID,0.0,1,0
349,Everton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.00,0,2.6,0,0,2536,2.0,2022-23,0.02,2.8,1,47,54452,64,0,false,8,90,0,0,Bournemouth,376,0.08,0.10,2187,38,Jefferson Lerma,1.0,MID,0.6,1,0
-4,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,54,0.0,2022-23,0.00,0.0,0,42,4814,65,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,58,38,Jack Stacey,0.0,DEF,0.0,1,0
-12283,Everton,0,0,1,0,1,2023-05-28T15:30:00Z,0,1.00,0,4.0,0,0,19490,1.0,2022-23,0.03,2.2,1,56,406364,66,0,false,1,90,0,1,Bournemouth,376,0.10,0.13,31773,38,Dominic Solanke,7.0,FWD,1.3,1,0
33,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,96,0.0,2022-23,0.00,0.0,0,49,6289,67,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,63,38,Lewis Cook,0.0,MID,0.0,1,0
-34,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,0,0.0,2022-23,0.00,0.0,0,44,14274,68,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,34,38,Ben Pearson,0.0,MID,0.0,1,0
119,Everton,0,0,2,0,1,2023-05-28T15:30:00Z,0,0.77,0,2.2,0,0,319,2.0,2022-23,0.01,1.8,1,53,6233,69,0,false,-1,64,0,0,Bournemouth,376,0.00,0.01,200,38,Ryan Christie,2.0,MID,0.6,1,0
-18361,Everton,0,0,2,0,1,2023-05-28T15:30:00Z,0,1.00,0,15.4,0,0,736,1.5,2022-23,0.04,12.3,1,50,98162,70,0,false,15,90,0,0,Bournemouth,376,0.00,0.04,19097,38,Philip Billing,4.0,MID,3.2,1,0
-234,Everton,0,0,0,0,0,2023-05-28T15:30:00Z,0,0.00,0,0.0,0,0,56,0.0,2022-23,0.00,0.0,0,43,11776,71,0,false,0,0,0,0,Bournemouth,376,0.00,0.00,290,38,Chris Mepham,0.0,DEF,0.0,1,0
